Tiempo en seg,Referencia,Salida,Estado 1 (VC1),Control (Vi)
121578.5050085,0.59,0.53,0.83,1.99
121578.5682166,0.59,0.53,0.83,1.98
121578.6245552,0.59,0.54,0.84,1.97
121578.6767535,0.59,0.54,0.85,1.95
121578.7289239,0.59,0.55,0.85,1.93
121578.7792316,0.59,0.55,0.84,1.94
121578.8303781,0.59,0.55,0.83,1.96
121578.8939368,0.59,0.55,0.83,1.95
121578.9445666,0.59,0.55,0.82,1.97
121579.0057009,0.59,0.56,0.83,1.96
121579.0568865,0.59,0.56,0.84,1.93
121579.1166913,0.6,0.57,0.85,1.91
121579.1769495,0.59,0.57,0.85,1.91
121579.2356626,0.59,0.57,0.83,1.92
121579.2882391,0.59,0.57,0.83,1.94
121579.3388056,0.59,0.57,0.84,1.92
121579.4019083,0.59,0.57,0.83,1.92
121579.4520896,0.59,0.57,0.82,1.93
121579.5116569,0.59,0.57,0.82,1.94
121579.5754188,0.59,0.58,0.84,1.92
121579.6287735,0.59,0.58,0.83,1.91
121579.686035,0.59,0.58,0.85,1.89
121579.7363293,0.59,0.58,0.83,1.92
121579.7874353,0.59,0.58,0.83,1.9
121579.8437168,0.59,0.58,0.83,1.9
121579.8989577,0.59,0.58,0.83,1.91
121579.9527788,0.59,0.59,0.84,1.88
121580.0174518,0.59,0.58,0.82,1.91
121580.0729437,0.59,0.58,0.82,1.92
121580.1287938,0.59,0.59,0.85,1.87
121580.182971,0.59,0.59,0.83,1.88
121580.2338129,0.59,0.59,0.83,1.89
121580.298472,0.59,0.59,0.82,1.9
121580.3494821,0.59,0.59,0.82,1.9
121580.409859,0.59,0.59,0.82,1.9
121580.4614166,0.59,0.59,0.84,1.87
121580.5210362,0.59,0.59,0.84,1.87
121580.5753061,0.59,0.59,0.82,1.9
121580.6254438,0.59,0.59,0.83,1.88
121580.6802345,0.59,0.59,0.83,1.87
121580.7331283,0.59,0.59,0.83,1.87
121580.7917206,0.59,0.59,0.83,1.88
121580.8448118,0.59,0.59,0.83,1.88
121580.9036187,0.59,0.59,0.82,1.88
121580.9539618,0.59,0.59,0.82,1.88
121581.015138,0.59,0.59,0.82,1.88
121581.0670488,0.59,0.59,0.82,1.88
121581.1258087,0.59,0.59,0.82,1.88
121581.182939,0.59,0.59,0.82,1.88
121581.2371401,0.59,0.59,0.82,1.88
121581.3008875,0.59,0.6,0.84,1.85
121581.3533673,0.59,0.59,0.82,1.87
121581.406802,0.59,0.59,0.8,1.9
121581.4599769,0.59,0.59,0.82,1.89
121581.5237619,0.59,0.6,0.84,1.85
121581.5828661,0.59,0.59,0.82,1.87
121581.635315,0.59,0.59,0.82,1.88
121581.6872634,0.59,0.6,0.83,1.85
121581.750488,0.59,0.59,0.82,1.87
121581.8143918,0.59,0.6,0.83,1.84
121581.8647986,0.59,0.59,0.81,1.87
121581.9243278,0.59,0.59,0.81,1.88
121581.9880241,0.59,0.59,0.81,1.88
121582.0516491,0.59,0.59,0.82,1.88
121582.1157703,0.59,0.59,0.82,1.86
121582.1795819,0.59,0.59,0.82,1.87
121582.2347153,0.59,0.59,0.82,1.87
121582.2879566,0.59,0.6,0.83,1.84
121582.3385835,0.59,0.6,0.83,1.83
121582.4020836,0.59,0.59,0.82,1.86
121582.4656452,0.59,0.6,0.83,1.84
121582.5293874,0.59,0.59,0.82,1.86
121582.5928091,0.59,0.59,0.81,1.87
121582.6477287,0.59,0.59,0.82,1.87
121582.7049988,0.59,0.59,0.82,1.87
121582.7595305,0.59,0.59,0.82,1.87
121582.8153415,0.59,0.59,0.82,1.86
121582.8789178,0.59,0.6,0.83,1.84
121582.9425619,0.59,0.6,0.83,1.83
121583.0059792,0.59,0.59,0.81,1.86
121583.0697188,0.59,0.59,0.81,1.86
121583.1337508,0.59,0.6,0.83,1.84
121583.1849594,0.59,0.59,0.81,1.86
121583.2358907,0.59,0.59,0.81,1.87
121583.2984998,0.59,0.6,0.83,1.84
121583.3493205,0.59,0.59,0.82,1.86
121583.4098094,0.59,0.59,0.81,1.86
121583.4618142,0.59,0.6,0.83,1.83
121583.5209645,0.59,0.59,0.81,1.86
121583.5842289,0.59,0.59,0.81,1.86
121583.6403304,0.59,0.59,0.82,1.86
121583.695451,0.59,0.59,0.82,1.86
121583.7590488,0.59,0.59,0.82,1.86
121583.8099214,0.59,0.6,0.85,1.8
121583.8601863,0.59,0.6,0.83,1.82
121583.9186667,0.59,0.59,0.81,1.85
121583.982409,0.59,0.59,0.81,1.86
121584.0344924,0.59,0.59,0.81,1.86
121584.0941387,0.59,0.6,0.83,1.83
121584.148414,0.59,0.59,0.81,1.85
121584.205255,0.59,0.59,0.81,1.86
121584.2685558,0.59,0.59,0.8,1.89
121584.3225174,0.59,0.59,0.82,1.86
121584.3808297,0.59,0.59,0.82,1.85
